a433-microservices-item-db-1   | 2023-03-01T16:39:29.430762791Z 2023-03-01T16:39:29.424+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=0f6d796819e9
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576284633Z 2023-03-01T16:39:31.576+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576292697Z 2023-03-01T16:39:31.576+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576481177Z 2023-03-01T16:39:31.576+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-03-01T16:39:31.590519023Z 2023-03-01T16:39:31.590+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 9145fe2f-037f-4403-8b8c-ae0cd73e4317
a433-microservices-item-db-1   | 2023-03-01T16:39:31.618527381Z 2023-03-01T16:39:31.618+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1   | 2023-03-01T16:39:31.624822027Z 2023-03-01T16:39:31.624+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 83399755-aa93-4a05-a5a9-7f4b103abb34
a433-microservices-item-db-1   | 2023-03-01T16:39:31.662840324Z 2023-03-01T16:39:31.662+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-03-01T16:39:31.664465156Z 2023-03-01T16:39:31.663+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: a6c31d5b-e326-4854-9ef2-9adf4261ab9a
a433-microservices-item-db-1   | 2023-03-01T16:39:31.664500739Z 2023-03-01T16:39:31.664+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-03-01T16:39:31.665072925Z 2023-03-01T16:39:31.664+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-03-01T16:39:31.665592357Z 2023-03-01T16:39:31.664+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-03-01T16:39:31.702362331Z 2023-03-01T16:39:31.701+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1   | 2023-03-01T16:39:31.702416142Z 2023-03-01T16:39:31.702+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1   | 2023-03-01T16:39:31.704072053Z 2023-03-01T16:39:31.703+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-db-1   | 2023-03-01T16:39:32.455770431Z 2023-03-01T16:39:32.455+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:38028 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-03-01T16:39:32.483181231Z 2023-03-01T16:39:32.482+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:38028 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.10.102.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
a433-microservices-item-app-1  | 2023-03-01T16:39:31.358814589Z 
a433-microservices-item-app-1  | 2023-03-01T16:39:31.358972738Z > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | 2023-03-01T16:39:31.358991335Z > node ./bin/www
a433-microservices-item-app-1  | 2023-03-01T16:39:31.358999174Z 
a433-microservices-item-app-1  | 2023-03-01T16:39:32.373944421Z NODE_ENV: production
a433-microservices-item-app-1  | 2023-03-01T16:39:32.502036106Z Connected to database
